sku,attribute_set,store,,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
MHP226SP-A,Grouper,default,,MHP226SP-A,MHP226SP-A,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,DK,0.00, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSP4856B1-B,Grouper,default,,MSP4856B1-B,MSP4856B1-B,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSP68P-A,Grouper,default,,MSP68P-A,MSP68P-A,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NES12026P/A,Grouper,default,,NES12026P /A,NES12026P,NA,simple,4, Both ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Leads both ends,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,220,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"F15T8, F15T12, F20T12",,,,,,,,,,,,,,
3M10246,Grouper,default,,NES20856PWH /A,NES20856PWH,M10246,simple,4, Both ,,  5 ,3,1W,1,2,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast,NPF,/60F6/8T5 V2",50-60,69.95, $ 69.95 ,,Leads both ends,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"F6T5, F8T5",,,,,,,,,,,,734832009398,,
NES210056/A,Grouper,default,,NES210056 /A,NES210056,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,DK,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
NES210056/B,Grouper,default,,NES210056 /B,NES210056,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,DK,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
NES25810056/A,Grouper,default,,NES25810056 /A,NES25810056,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
NESGPH508P/A,Grouper,default,,NESGPH508P /A,NESGPH508P,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
P1686,Grouper,default,,P1686,P1686,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,480,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
